,Machine,Start,Finish,Duration,job_id
0,0.0,1485.0,1554.0,69.0,0
1,0.0,1367.0,1433.0,66.0,1
2,0.0,1995.0,2071.0,76.0,2
3,0.0,1554.0,1596.0,42.0,3
4,0.0,2165.0,2166.0,1.0,4
5,0.0,2299.0,2350.0,51.0,5
6,0.0,69.0,81.0,12.0,6
7,0.0,2166.0,2227.0,61.0,7
8,0.0,1291.0,1367.0,76.0,8
9,0.0,1596.0,1675.0,79.0,9
10,0.0,0.0,10.0,10.0,10
11,0.0,2227.0,2299.0,72.0,11
12,0.0,695.0,788.0,93.0,12
13,0.0,1894.0,1919.0,25.0,13
14,0.0,477.0,496.0,19.0,14
15,0.0,370.0,382.0,12.0,15
16,0.0,1937.0,1950.0,13.0,16
17,0.0,2370.0,2381.0,11.0,17
18,0.0,1098.0,1165.0,67.0,18
19,0.0,496.0,588.0,92.0,19
20,0.0,1036.0,1098.0,62.0,20
21,0.0,1983.0,1995.0,12.0,21
22,0.0,1165.0,1173.0,8.0,22
23,0.0,1258.0,1291.0,33.0,23
24,0.0,588.0,623.0,35.0,24
25,0.0,1919.0,1937.0,18.0,25
26,0.0,147.0,203.0,56.0,26
27,0.0,2424.0,2500.0,76.0,27
28,0.0,352.0,370.0,18.0,28
29,0.0,2381.0,2424.0,43.0,29
30,0.0,892.0,977.0,85.0,30
31,0.0,10.0,50.0,40.0,31
32,0.0,788.0,870.0,82.0,32
33,0.0,1735.0,1762.0,27.0,33
34,0.0,270.0,352.0,82.0,34
35,0.0,1433.0,1485.0,52.0,35
36,0.0,203.0,270.0,67.0,36
37,0.0,2350.0,2370.0,20.0,37
38,0.0,977.0,1036.0,59.0,38
39,0.0,623.0,695.0,72.0,39
40,0.0,2071.0,2165.0,94.0,40
41,0.0,1950.0,1983.0,33.0,41
42,0.0,1762.0,1830.0,68.0,42
43,0.0,1830.0,1894.0,64.0,43
44,0.0,382.0,477.0,95.0,44
45,0.0,50.0,69.0,19.0,45
46,0.0,1173.0,1258.0,85.0,46
47,0.0,870.0,892.0,22.0,47
48,0.0,1675.0,1735.0,60.0,48
49,0.0,81.0,147.0,66.0,49
50,1.0,1554.0,1622.0,68.0,0
51,1.0,1495.0,1537.0,42.0,1
52,1.0,2076.0,2081.0,5.0,2
53,1.0,1622.0,1697.0,75.0,3
54,1.0,2240.0,2242.0,2.0,4
55,1.0,2397.0,2406.0,9.0,5
56,1.0,146.0,174.0,28.0,6
57,1.0,2242.0,2333.0,91.0,7
58,1.0,1420.0,1495.0,75.0,8
59,1.0,1697.0,1769.0,72.0,9
60,1.0,10.0,31.0,21.0,10
61,1.0,2333.0,2397.0,64.0,11
62,1.0,866.0,886.0,20.0,12
63,1.0,1932.0,1971.0,39.0,13
64,1.0,615.0,681.0,66.0,14
65,1.0,511.0,603.0,92.0,15
66,1.0,1978.0,2041.0,63.0,16
67,1.0,2463.0,2529.0,66.0,17
68,1.0,1165.0,1216.0,51.0,18
69,1.0,681.0,717.0,36.0,19
70,1.0,1135.0,1152.0,17.0,20
71,1.0,2063.0,2076.0,13.0,21
72,1.0,1216.0,1286.0,70.0,22
73,1.0,1347.0,1420.0,73.0,23
74,1.0,717.0,810.0,93.0,24
75,1.0,1971.0,1978.0,7.0,25
76,1.0,229.0,240.0,11.0,26
77,1.0,2628.0,2688.0,60.0,27
78,1.0,439.0,511.0,72.0,28
79,1.0,2529.0,2628.0,99.0,29
80,1.0,1044.0,1104.0,60.0,30
81,1.0,50.0,128.0,78.0,31
82,1.0,886.0,985.0,99.0,32
83,1.0,1788.0,1815.0,27.0,33
84,1.0,352.0,439.0,87.0,34
85,1.0,1537.0,1538.0,1.0,35
86,1.0,270.0,273.0,3.0,36
87,1.0,2406.0,2463.0,57.0,37
88,1.0,1104.0,1135.0,31.0,38
89,1.0,810.0,866.0,56.0,39
90,1.0,2165.0,2240.0,75.0,40
91,1.0,2041.0,2063.0,22.0,41
92,1.0,1830.0,1902.0,72.0,42
93,1.0,1902.0,1932.0,30.0,43
94,1.0,603.0,615.0,12.0,44
95,1.0,128.0,146.0,18.0,45
96,1.0,1286.0,1347.0,61.0,46
97,1.0,985.0,1044.0,59.0,47
98,1.0,1769.0,1788.0,19.0,48
99,1.0,174.0,229.0,55.0,49
100,2.0,1654.0,1703.0,49.0,0
101,2.0,1579.0,1598.0,19.0,1
102,2.0,2285.0,2327.0,42.0,2
103,2.0,1703.0,1764.0,61.0,3
104,2.0,2366.0,2402.0,36.0,4
105,2.0,2463.0,2536.0,73.0,5
106,2.0,236.0,245.0,9.0,6
107,2.0,2402.0,2411.0,9.0,7
108,2.0,1543.0,1579.0,36.0,8
109,2.0,1769.0,1777.0,8.0,9
110,2.0,31.0,129.0,98.0,10
111,2.0,2411.0,2463.0,52.0,11
112,2.0,888.0,932.0,44.0,12
113,2.0,2076.0,2085.0,9.0,13
114,2.0,681.0,682.0,1.0,14
115,2.0,603.0,613.0,10.0,15
116,2.0,2157.0,2167.0,10.0,16
117,2.0,2601.0,2659.0,58.0,17
118,2.0,1262.0,1344.0,82.0,18
119,2.0,717.0,768.0,51.0,19
120,2.0,1228.0,1262.0,34.0,20
121,2.0,2203.0,2285.0,82.0,21
122,2.0,1344.0,1399.0,55.0,22
123,2.0,1497.0,1543.0,46.0,23
124,2.0,810.0,821.0,11.0,24
125,2.0,2085.0,2157.0,72.0,25
126,2.0,312.0,398.0,86.0,26
