,Machine,Start,Finish,Duration,job_id
131,2.0,2631.0,2646.0,15.0,31
132,2.0,416.0,430.0,14.0,32
133,2.0,500.0,549.0,49.0,33
134,2.0,112.0,180.0,68.0,34
135,2.0,2063.0,2091.0,28.0,35
136,2.0,1639.0,1726.0,87.0,36
137,2.0,1978.0,2063.0,85.0,37
138,2.0,785.0,875.0,90.0,38
139,2.0,1622.0,1639.0,17.0,39
140,2.0,1924.0,1978.0,54.0,40
141,2.0,1172.0,1231.0,59.0,41
142,2.0,2091.0,2116.0,25.0,42
143,2.0,1231.0,1254.0,23.0,43
144,2.0,2385.0,2445.0,60.0,44
145,2.0,2189.0,2249.0,60.0,45
146,2.0,1079.0,1147.0,68.0,46
147,2.0,430.0,500.0,70.0,47
148,2.0,705.0,785.0,80.0,48
149,2.0,1075.0,1079.0,4.0,49
150,3.0,746.0,805.0,59.0,0
151,3.0,112.0,197.0,85.0,1
152,3.0,1659.0,1732.0,73.0,2
153,3.0,2127.0,2214.0,87.0,3
154,3.0,878.0,965.0,87.0,4
155,3.0,270.0,359.0,89.0,5
156,3.0,2476.0,2524.0,48.0,6
157,3.0,359.0,416.0,57.0,7
158,3.0,2748.0,2807.0,59.0,8
159,3.0,805.0,878.0,73.0,9
160,3.0,499.0,565.0,66.0,10
161,3.0,1324.0,1419.0,95.0,11
162,3.0,2687.0,2748.0,61.0,12
163,3.0,1997.0,2010.0,13.0,13
164,3.0,1830.0,1909.0,79.0,14
165,3.0,1123.0,1211.0,88.0,15
166,3.0,1793.0,1812.0,19.0,16
167,3.0,1812.0,1830.0,18.0,17
168,3.0,1211.0,1232.0,21.0,18
169,3.0,1760.0,1793.0,33.0,19
170,3.0,1749.0,1760.0,11.0,20
171,3.0,2820.0,2828.0,8.0,21
172,3.0,2582.0,2590.0,8.0,22
173,3.0,416.0,499.0,83.0,23
174,3.0,2807.0,2820.0,13.0,24
175,3.0,2590.0,2679.0,89.0,25
176,3.0,1419.0,1482.0,63.0,26
177,3.0,2063.0,2127.0,64.0,27
178,3.0,2010.0,2063.0,53.0,28
179,3.0,1095.0,1123.0,28.0,29
180,3.0,1732.0,1749.0,17.0,30
181,3.0,2828.0,2830.0,2.0,31
182,3.0,565.0,642.0,77.0,32
183,3.0,685.0,746.0,61.0,33
184,3.0,197.0,270.0,73.0,34
185,3.0,2355.0,2424.0,69.0,35
186,3.0,1974.0,1997.0,23.0,36
187,3.0,2299.0,2355.0,56.0,37
188,3.0,1017.0,1095.0,78.0,38
189,3.0,1909.0,1974.0,65.0,39
190,3.0,2214.0,2299.0,85.0,40
191,3.0,1482.0,1581.0,99.0,41
192,3.0,2424.0,2476.0,52.0,42
193,3.0,1581.0,1659.0,78.0,43
194,3.0,2679.0,2687.0,8.0,44
195,3.0,2524.0,2582.0,58.0,45
196,3.0,1273.0,1324.0,51.0,46
197,3.0,642.0,685.0,43.0,47
198,3.0,965.0,1017.0,52.0,48
199,3.0,1232.0,1273.0,41.0,49
200,4.0,849.0,916.0,67.0,0
201,4.0,197.0,296.0,99.0,1
202,4.0,1732.0,1789.0,57.0,2
203,4.0,2489.0,2536.0,47.0,3
204,4.0,991.0,1084.0,93.0,4
205,4.0,394.0,429.0,35.0,5
206,4.0,2690.0,2722.0,32.0,6
207,4.0,429.0,506.0,77.0,7
208,4.0,2854.0,2882.0,28.0,8
209,4.0,916.0,991.0,75.0,9
210,4.0,589.0,684.0,95.0,10
211,4.0,1470.0,1485.0,15.0,11
212,4.0,2836.0,2854.0,18.0,12
213,4.0,2306.0,2403.0,97.0,13
214,4.0,2132.0,2169.0,37.0,14
215,4.0,1249.0,1302.0,53.0,15
216,4.0,1962.0,2059.0,97.0,16
217,4.0,2059.0,2132.0,73.0,17
218,4.0,1302.0,1362.0,60.0,18
219,4.0,1923.0,1962.0,39.0,19
220,4.0,1875.0,1923.0,48.0,20
221,4.0,2892.0,2901.0,9.0,21
222,4.0,2777.0,2794.0,17.0,22
223,4.0,506.0,589.0,83.0,23
224,4.0,2882.0,2892.0,10.0,24
225,4.0,2794.0,2796.0,2.0,25
226,4.0,1485.0,1551.0,66.0,26
227,4.0,2439.0,2489.0,50.0,27
228,4.0,2403.0,2439.0,36.0,28
229,4.0,1204.0,1249.0,45.0,29
230,4.0,1789.0,1875.0,86.0,30
231,4.0,2901.0,2909.0,8.0,31
232,4.0,684.0,731.0,47.0,32
233,4.0,797.0,849.0,52.0,33
234,4.0,296.0,394.0,98.0,34
235,4.0,2630.0,2652.0,22.0,35
236,4.0,2251.0,2306.0,55.0,36
237,4.0,2568.0,2630.0,62.0,37
